
========================= MONTH 1 =========================

Atter Ag, Food: 15/15, Profit: 0.56
Gowing Goods, Food: 12/12, Profit: 1.45
Warren LLC, Food: 0/0, Profit: -0.03
Rogers Ag, Food: 0/0, Profit: -0.03
Makin Cereals, Food: 0/0, Profit: -0.03

========================= MONTH 54 =========================

Atter Ag, Food: 15/15, Profit: 0.79
Goldberg Limited, Food: 0/0, Profit: -0.41
Orvis Ranch, Food: 0/0, Profit: -0.79
Allum Spring, Food: 0/0, Profit: -0.52
Ivory Farms, Food: 0/0, Profit: -0.31
Ewing Grain, Food: 0/0, Profit: -0.45
Gowing Goods, Food: 0/0, Profit: -0.27
Warren LLC, Food: 0/0, Profit: -0.03
Rogers Ag, Food: 0/0, Profit: -0.03
Makin Cereals, Food: 0/0, Profit: -0.03

========================= MONTH 55 =========================

Atter Ag, Food: 0/0, Profit: -1.72
Goldberg Limited, Food: 0/0, Profit: -0.39
Orvis Ranch, Food: 0/0, Profit: -0.75
Allum Spring, Food: 0/0, Profit: -0.49
Ivory Farms, Food: 0/0, Profit: -0.29
Ewing Grain, Food: 0/0, Profit: -0.43
Gowing Goods, Food: 0/0, Profit: -0.25
Warren LLC, Food: 0/0, Profit: -0.03
Rogers Ag, Food: 0/0, Profit: -0.03
Makin Cereals, Food: 0/0, Profit: -0.03

========================= MONTH 56 =========================

Atter Ag, Food: 21/21, Profit: 1.03
Goldberg Limited, Food: 11/11, Profit: 0.78
Orvis Ranch, Food: 22/22, Profit: 1.73
Allum Spring, Food: 13/13, Profit: 1.13
Ivory Farms, Food: 11/11, Profit: 0.76
Ewing Grain, Food: 15/15, Profit: 1.47
Gowing Goods, Food: 17/17, Profit: 1.58
Warren LLC, Food: 0/0, Profit: -0.03
Rogers Ag, Food: 0/0, Profit: -0.03
Makin Cereals, Food: 0/0, Profit: -0.03

========================= MONTH 57 =========================

Atter Ag, Food: 21/21, Profit: 1.01
Goldberg Limited, Food: 11/11, Profit: 0.79
Orvis Ranch, Food: 0/0, Profit: -0.80
Allum Spring, Food: 0/0, Profit: -0.52
Ivory Farms, Food: 0/0, Profit: -0.31
Ewing Grain, Food: 0/0, Profit: -0.48
Gowing Goods, Food: 0/0, Profit: -0.32
Warren LLC, Food: 0/0, Profit: -0.03
Rogers Ag, Food: 0/0, Profit: -0.03
Makin Cereals, Food: 0/0, Profit: -0.03

========================= MONTH 58 =========================

Atter Ag, Food: 15/15, Profit: 0.84
Goldberg Limited, Food: 0/0, Profit: -0.45
Orvis Ranch, Food: 0/0, Profit: -0.76
Allum Spring, Food: 0/0, Profit: -0.50
Ivory Farms, Food: 0/0, Profit: -0.30
Ewing Grain, Food: 0/0, Profit: -0.46
Gowing Goods, Food: 0/0, Profit: -0.30
Warren LLC, Food: 0/0, Profit: -0.03
Rogers Ag, Food: 0/0, Profit: -0.03
Makin Cereals, Food: 0/0, Profit: -0.03

========================= MONTH 59 =========================

Atter Ag, Food: 10/10, Profit: 0.20
Goldberg Limited, Food: 0/0, Profit: -0.43
Orvis Ranch, Food: 0/0, Profit: -0.72
Allum Spring, Food: 0/0, Profit: -0.47
Ivory Farms, Food: 0/0, Profit: -0.28
Ewing Grain, Food: 0/0, Profit: -0.43
Gowing Goods, Food: 0/0, Profit: -0.29
Warren LLC, Food: 0/0, Profit: -0.03
Rogers Ag, Food: 0/0, Profit: -0.03
Makin Cereals, Food: 0/0, Profit: -0.03

========================= MONTH 60 =========================

Atter Ag, Food: 0/0, Profit: -1.79
Goldberg Limited, Food: 0/0, Profit: -0.40
Orvis Ranch, Food: 0/0, Profit: -0.69
Allum Spring, Food: 0/0, Profit: -0.45
Ivory Farms, Food: 0/0, Profit: -0.27
Ewing Grain, Food: 0/0, Profit: -0.41
Gowing Goods, Food: 0/0, Profit: -0.27
Warren LLC, Food: 0/0, Profit: -0.02
Rogers Ag, Food: 0/0, Profit: -0.02
Makin Cereals, Food: 0/0, Profit: -0.02

========================= MONTH 61 =========================

Atter Ag, Food: 21/21, Profit: 1.24
Goldberg Limited, Food: 11/11, Profit: 0.88
Orvis Ranch, Food: 22/22, Profit: 1.84
Allum Spring, Food: 13/13, Profit: 1.23
Ivory Farms, Food: 11/11, Profit: 0.81
Ewing Grain, Food: 15/15, Profit: 1.52
Gowing Goods, Food: 17/17, Profit: 1.58
Warren LLC, Food: 0/0, Profit: -0.02
Rogers Ag, Food: 0/0, Profit: -0.02
Makin Cereals, Food: 0/0, Profit: -0.02

========================= MONTH 62 =========================

Atter Ag, Food: 24/24, Profit: 1.31
Goldberg Limited, Food: 11/11, Profit: 0.85
Orvis Ranch, Food: 11/11, Profit: 1.30
Allum Spring, Food: 0/0, Profit: -0.49
Ivory Farms, Food: 0/0, Profit: -0.30
Ewing Grain, Food: 0/0, Profit: -0.47
Gowing Goods, Food: 0/0, Profit: -0.34
Warren LLC, Food: 0/0, Profit: -0.02
Rogers Ag, Food: 0/0, Profit: -0.02
Makin Cereals, Food: 0/0, Profit: -0.02

========================= MONTH 63 =========================

Atter Ag, Food: 15/15, Profit: 0.97
Goldberg Limited, Food: 0/0, Profit: -0.47
Orvis Ranch, Food: 0/0, Profit: -0.81
Allum Spring, Food: 0/0, Profit: -0.46
Ivory Farms, Food: 0/0, Profit: -0.28
Ewing Grain, Food: 0/0, Profit: -0.44
Gowing Goods, Food: 0/0, Profit: -0.32
Warren LLC, Food: 0/0, Profit: -0.02
Rogers Ag, Food: 0/0, Profit: -0.02
Makin Cereals, Food: 0/0, Profit: -0.02

========================= MONTH 64 =========================

Atter Ag, Food: 0/0, Profit: -1.87
Goldberg Limited, Food: 0/0, Profit: -0.45
Orvis Ranch, Food: 0/0, Profit: -0.77
Allum Spring, Food: 0/0, Profit: -0.44
Ivory Farms, Food: 0/0, Profit: -0.27
Ewing Grain, Food: 0/0, Profit: -0.42
Gowing Goods, Food: 0/0, Profit: -0.31
Warren LLC, Food: 0/0, Profit: -0.02
Rogers Ag, Food: 0/0, Profit: -0.02
Makin Cereals, Food: 0/0, Profit: -0.02

========================= MONTH 65 =========================

Atter Ag, Food: 24/24, Profit: 1.38
Goldberg Limited, Food: 11/11, Profit: 0.91
Orvis Ranch, Food: 22/22, Profit: 1.92
Allum Spring, Food: 13/13, Profit: 1.30
Ivory Farms, Food: 11/11, Profit: 0.87
Ewing Grain, Food: 15/15, Profit: 1.55
Gowing Goods, Food: 17/17, Profit: 1.63
Warren LLC, Food: 0/0, Profit: -0.02
Rogers Ag, Food: 0/0, Profit: -0.02
Makin Cereals, Food: 0/0, Profit: -0.02

========================= MONTH 66 =========================

Atter Ag, Food: 24/24, Profit: 1.35
Goldberg Limited, Food: 11/11, Profit: 0.92
Orvis Ranch, Food: 11/11, Profit: 1.32
Allum Spring, Food: 0/0, Profit: -0.48
Ivory Farms, Food: 0/0, Profit: -0.30
Ewing Grain, Food: 0/0, Profit: -0.48
Gowing Goods, Food: 0/0, Profit: -0.37
Warren LLC, Food: 0/0, Profit: -0.02
Rogers Ag, Food: 0/0, Profit: -0.02
Makin Cereals, Food: 0/0, Profit: -0.02

========================= MONTH 67 =========================

Atter Ag, Food: 15/15, Profit: 0.96
Goldberg Limited, Food: 0/0, Profit: -0.52
Orvis Ranch, Food: 0/0, Profit: -0.89
Allum Spring, Food: 0/0, Profit: -0.46
Ivory Farms, Food: 0/0, Profit: -0.28
Ewing Grain, Food: 0/0, Profit: -0.45
Gowing Goods, Food: 0/0, Profit: -0.35
Warren LLC, Food: 0/0, Profit: -0.02
Rogers Ag, Food: 0/0, Profit: -0.02
Makin Cereals, Food: 0/0, Profit: -0.02

========================= MONTH 68 =========================

Atter Ag, Food: 0/0, Profit: -1.97
Goldberg Limited, Food: 0/0, Profit: -0.49
Orvis Ranch, Food: 0/0, Profit: -0.85
Allum Spring, Food: 0/0, Profit: -0.44
Ivory Farms, Food: 0/0, Profit: -0.27
Ewing Grain, Food: 0/0, Profit: -0.43
Gowing Goods, Food: 0/0, Profit: -0.34
Warren LLC, Food: 0/0, Profit: -0.02
Rogers Ag, Food: 0/0, Profit: -0.02
Makin Cereals, Food: 0/0, Profit: -0.02

========================= MONTH 69 =========================

Atter Ag, Food: 24/24, Profit: 1.48
Goldberg Limited, Food: 11/11, Profit: 0.94
Orvis Ranch, Food: 22/22, Profit: 1.90
Allum Spring, Food: 13/13, Profit: 1.40
Ivory Farms, Food: 11/11, Profit: 0.93
Ewing Grain, Food: 15/15, Profit: 1.57
Gowing Goods, Food: 17/17, Profit: 1.59
Warren LLC, Food: 0/0, Profit: -0.02
Rogers Ag, Food: 0/0, Profit: -0.02
Makin Cereals, Food: 0/0, Profit: -0.02

========================= MONTH 70 =========================

Atter Ag, Food: 24/24, Profit: 1.44
Goldberg Limited, Food: 11/11, Profit: 0.92
Orvis Ranch, Food: 11/11, Profit: 1.26
Allum Spring, Food: 0/0, Profit: -0.48
Ivory Farms, Food: 0/0, Profit: -0.30
Ewing Grain, Food: 0/0, Profit: -0.49
Gowing Goods, Food: 0/0, Profit: -0.40
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 71 =========================

Atter Ag, Food: 15/15, Profit: 0.97
Goldberg Limited, Food: 0/0, Profit: -0.56
Orvis Ranch, Food: 0/0, Profit: -0.96
Allum Spring, Food: 0/0, Profit: -0.46
Ivory Farms, Food: 0/0, Profit: -0.29
Ewing Grain, Food: 0/0, Profit: -0.46
Gowing Goods, Food: 0/0, Profit: -0.38
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 72 =========================

Atter Ag, Food: 0/0, Profit: -2.06
Goldberg Limited, Food: 0/0, Profit: -0.53
Orvis Ranch, Food: 0/0, Profit: -0.92
Allum Spring, Food: 0/0, Profit: -0.44
Ivory Farms, Food: 0/0, Profit: -0.27
Ewing Grain, Food: 0/0, Profit: -0.44
Gowing Goods, Food: 0/0, Profit: -0.36
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 73 =========================

Atter Ag, Food: 24/24, Profit: 1.48
Goldberg Limited, Food: 11/11, Profit: 0.97
Orvis Ranch, Food: 22/22, Profit: 1.96
Allum Spring, Food: 13/13, Profit: 1.44
Ivory Farms, Food: 11/11, Profit: 0.98
Ewing Grain, Food: 15/15, Profit: 1.61
Gowing Goods, Food: 17/17, Profit: 1.63
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 74 =========================

Atter Ag, Food: 24/24, Profit: 1.51
Goldberg Limited, Food: 11/11, Profit: 0.93
Orvis Ranch, Food: 11/11, Profit: 1.29
Allum Spring, Food: 0/0, Profit: -0.49
Ivory Farms, Food: 0/0, Profit: -0.31
Ewing Grain, Food: 0/0, Profit: -0.50
Gowing Goods, Food: 0/0, Profit: -0.42
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 75 =========================

Atter Ag, Food: 15/15, Profit: 1.04
Goldberg Limited, Food: 0/0, Profit: -0.60
Orvis Ranch, Food: 0/0, Profit: -1.03
Allum Spring, Food: 0/0, Profit: -0.46
Ivory Farms, Food: 0/0, Profit: -0.29
Ewing Grain, Food: 0/0, Profit: -0.47
Gowing Goods, Food: 0/0, Profit: -0.40
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 76 =========================

Atter Ag, Food: 0/0, Profit: -2.16
Goldberg Limited, Food: 0/0, Profit: -0.57
Orvis Ranch, Food: 0/0, Profit: -0.98
Allum Spring, Food: 0/0, Profit: -0.44
Ivory Farms, Food: 0/0, Profit: -0.28
Ewing Grain, Food: 0/0, Profit: -0.45
Gowing Goods, Food: 0/0, Profit: -0.38
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 77 =========================

Atter Ag, Food: 24/24, Profit: 1.68
Goldberg Limited, Food: 11/11, Profit: 0.99
Orvis Ranch, Food: 19/19, Profit: 1.88
Allum Spring, Food: 13/13, Profit: 1.50
Ivory Farms, Food: 11/11, Profit: 1.02
Ewing Grain, Food: 15/15, Profit: 1.65
Gowing Goods, Food: 17/17, Profit: 1.60
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 78 =========================

Atter Ag, Food: 24/24, Profit: 1.71
Goldberg Limited, Food: 11/11, Profit: 0.96
Orvis Ranch, Food: 15/15, Profit: 1.55
Allum Spring, Food: 0/0, Profit: -0.49
Ivory Farms, Food: 0/0, Profit: -0.31
Ewing Grain, Food: 0/0, Profit: -0.51
Gowing Goods, Food: 0/0, Profit: -0.44
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 79 =========================

Atter Ag, Food: 15/15, Profit: 1.12
Goldberg Limited, Food: 0/0, Profit: -0.64
Orvis Ranch, Food: 0/0, Profit: -1.10
Allum Spring, Food: 0/0, Profit: -0.47
Ivory Farms, Food: 0/0, Profit: -0.30
Ewing Grain, Food: 0/0, Profit: -0.48
Gowing Goods, Food: 0/0, Profit: -0.42
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 80 =========================

Atter Ag, Food: 0/0, Profit: -2.28
Goldberg Limited, Food: 0/0, Profit: -0.61
Orvis Ranch, Food: 0/0, Profit: -1.05
Allum Spring, Food: 0/0, Profit: -0.44
Ivory Farms, Food: 0/0, Profit: -0.28
Ewing Grain, Food: 0/0, Profit: -0.46
Gowing Goods, Food: 0/0, Profit: -0.40
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 81 =========================

Atter Ag, Food: 26/26, Profit: 1.84
Goldberg Limited, Food: 11/11, Profit: 1.02
Orvis Ranch, Food: 19/19, Profit: 1.83
Allum Spring, Food: 13/13, Profit: 1.54
Ivory Farms, Food: 11/11, Profit: 1.03
Ewing Grain, Food: 15/15, Profit: 1.75
Gowing Goods, Food: 17/17, Profit: 1.65
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 82 =========================

Atter Ag, Food: 26/26, Profit: 1.78
Goldberg Limited, Food: 11/11, Profit: 0.98
Orvis Ranch, Food: 0/0, Profit: -1.09
Allum Spring, Food: 0/0, Profit: -0.50
Ivory Farms, Food: 0/0, Profit: -0.32
Ewing Grain, Food: 0/0, Profit: -0.53
Gowing Goods, Food: 0/0, Profit: -0.46
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 83 =========================

Atter Ag, Food: 15/15, Profit: 1.11
Goldberg Limited, Food: 0/0, Profit: -0.68
Orvis Ranch, Food: 0/0, Profit: -1.03
Allum Spring, Food: 0/0, Profit: -0.47
Ivory Farms, Food: 0/0, Profit: -0.30
Ewing Grain, Food: 0/0, Profit: -0.50
Gowing Goods, Food: 0/0, Profit: -0.44
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 84 =========================

Atter Ag, Food: 0/0, Profit: -2.40
Goldberg Limited, Food: 0/0, Profit: -0.64
Orvis Ranch, Food: 0/0, Profit: -0.98
Allum Spring, Food: 0/0, Profit: -0.45
Ivory Farms, Food: 0/0, Profit: -0.29
Ewing Grain, Food: 0/0, Profit: -0.47
Gowing Goods, Food: 0/0, Profit: -0.42
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 85 =========================

Atter Ag, Food: 24/24, Profit: 1.82
Goldberg Limited, Food: 11/11, Profit: 1.07
Orvis Ranch, Food: 19/19, Profit: 2.01
Allum Spring, Food: 13/13, Profit: 1.58
Ivory Farms, Food: 11/11, Profit: 1.04
Ewing Grain, Food: 15/15, Profit: 1.81
Gowing Goods, Food: 17/17, Profit: 1.62
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 86 =========================

Atter Ag, Food: 26/26, Profit: 1.78
Goldberg Limited, Food: 11/11, Profit: 1.04
Orvis Ranch, Food: 19/19, Profit: 1.94
Allum Spring, Food: 9/9, Profit: 1.27
Ivory Farms, Food: 0/0, Profit: -0.33
Ewing Grain, Food: 0/0, Profit: -0.54
Gowing Goods, Food: 0/0, Profit: -0.48
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 87 =========================

Atter Ag, Food: 24/24, Profit: 1.87
Goldberg Limited, Food: 0/0, Profit: -0.72
Orvis Ranch, Food: 0/0, Profit: -1.13
Allum Spring, Food: 0/0, Profit: -0.57
Ivory Farms, Food: 0/0, Profit: -0.31
Ewing Grain, Food: 0/0, Profit: -0.51
Gowing Goods, Food: 0/0, Profit: -0.45
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01

========================= MONTH 88 =========================

Atter Ag, Food: 0/0, Profit: -2.55
Goldberg Limited, Food: 0/0, Profit: -0.68
Orvis Ranch, Food: 0/0, Profit: -1.07
Allum Spring, Food: 0/0, Profit: -0.54
Ivory Farms, Food: 0/0, Profit: -0.30
Ewing Grain, Food: 0/0, Profit: -0.49
Gowing Goods, Food: 0/0, Profit: -0.43
Warren LLC, Food: 0/0, Profit: -0.01
Rogers Ag, Food: 0/0, Profit: -0.01
Makin Cereals, Food: 0/0, Profit: -0.01
